iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$69,783,236,901"
Shares Outstanding,"332,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"EBAY","EBAY INC","US2786421030","2293819","0.1699","Information Technology","Equity","$119,440,119","4,182,077","28.56","NASDAQ","119,440,119.12"
"MMC","MARSH & MCLENNAN INC","US5717481023","2567741","0.1689","Financials","Equity","$118,725,597","2,036,809","58.29","New York Stock Exchange Inc.","118,725,596.61"
"ECL","ECOLAB INC","US2788651006","2304227","0.1683","Materials","Equity","$118,359,516","1,013,786","116.75","New York Stock Exchange Inc.","118,359,515.50"
"CME","CME GROUP INC CLASS A","US12572Q1058","2965839","0.1671","Financials","Equity","$117,503,534","1,200,363","97.89","NASDAQ","117,503,534.07"
"SYK","STRYKER CORP","US8636671013","2853688","0.1659","Health Care","Equity","$116,619,439","1,130,910","103.12","New York Stock Exchange Inc.","116,619,439.20"
"CSX","CSX CORP","US1264081035","2160753","0.1635","Industrials","Equity","$114,967,376","3,737,561","30.76","New York Stock Exchange Inc.","114,967,376.36"
"JCI","JOHNSON CONTROLS INC","US4783661071","2476803","0.1635","Consumer Discretionary","Equity","$114,943,658","2,477,234","46.40","New York Stock Exchange Inc.","114,943,657.60"
"ITW","ILLINOIS TOOL INC","US4523081093","2457552","0.1631","Industrials","Equity","$114,648,144","1,279,698","89.59","New York Stock Exchange Inc.","114,648,143.82"
"ADM","ARCHER DANIELS MIDLAND","US0394831020","2047317","0.1610","Consumer Staples","Equity","$113,167,084","2,346,891","48.22","New York Stock Exchange Inc.","113,167,084.02"
"PSA","PUBLIC STORAGE REIT","US74460D1090","2852533","0.1607","Financials","Equity","$112,978,674","549,427","205.63","New York Stock Exchange Inc.","112,978,674.01"
